Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;HiwatcРHDB020;HiWatch HDC-B020 (2.8);1821;2500;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2590;6500
;;HlopushkaPojarRazbornay;Хлопушка пожарная разборная;1599;2500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1599;2500
;;Hnyrevro1111223m;Шнур сетевой Евро 0,75 кв мм 3м (11-1122) ;120;274;5;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;120;274
;;Hnyrsetevoievro07518111131;Шнур сетевой Евро 0,75 кв мм 1,8м (11-1131);110;267;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;110;267
;;Ho02vxodalexb1;"Кнопка выхода НО-02 ""Выход"" (AL-EXB1)";91;247;9;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;91;247
;;HomutKkrepleniuT2T3;Хомут к креплению Т2-Т3;46;70;11;VAT_20;;11;;;Поставки будут;;;;;;;;;;;;46;70
;;HomutNylon2,5x100black;Хомут nylon 2,5  х 150 мм (упак 100шт) черный (07-0151-1);42;70;0;VAT_20;;12;;;Поставки будут;;;;;;;;;;;;42;70
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/8200585/pic184a3874410454af7d1e9a7fc16305bc/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";HomutNylon2,5x200mmBelui0702004;Хомут nylon 2.5  x 200 мм (упак 100шт) белый (07-0200-4);55;85;0;VAT_20;;9;;;Поставки будут;;;;;;;;;;;;55;85
;;HomutNylon2.5x200mmBlack0702014;Хомут nylon 2.5  x 200 мм (упак 100шт) черный (07-0201-4);55;85;0;VAT_20;;9;;;Поставки будут;;;;;;;;;;;;55;85
;;HomutNylon3.6x300mmBelui070300;Хомут nylon 3,6  x 300 мм (упак 100шт) белый (07-0300);142;230;0;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;142;230
;;HomutPodVint4.3x200Belui070204;Хомут под винт nylon 4,3 x 200 мм (упак 100шт) белый (07-0204);228;312;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;228;312
;;HomutPodVint4x150Black;Хомут под винт 4 x 150 мм (упак 100шт) черный;157;239;11;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;157;239
;;HomutPremium3x200(2.5x200)black;Хомут Premium 3*200(2,5*200) черный;46;80;0;VAT_20;;11;;;Поставки будут;;;;;;;;;;;;46;80
;;HomutPremium4x200(3.6x200)Black;Хомут Premium 4*200(3,6*200) черный;72;122;0;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;72;122
;;HomutPremium4x250(3.6x250)Black;Хомут Premium 4*250(3,6*250) черный;96;167;38;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;96;167
;;HomutSkrepejPistonom2.5x100Black;Хомут с крепежным пистоном 2.5  х 100 мм (упак 100шт) черный (07-0107);72;121;0;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;72;121
;;Htekerbncgnezdof053201;Переход штекер BNC- гнездо F (05-3201)  ;49;65;32;VAT_20;;11;;;Поставки будут;;;;;;;;;;;;49;65
;;Hvabra6ls2nasadkami;Швабра +2 насадкой 6л;910;1470;8;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1300;2850
;;Hyperlineuutp4c5es24inpvcgy305;Hyperline UUTP4-C5E-S24-IN-PVC-GY-305 (305 м) (серый)     ;504;670;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;504;670
;;I32931s;"Арфа-И (329-3/1) ""Стрелец""";4290;6530;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4290;6530
;;IL07BW;Брелок IL-07T (болванка);70;195;2;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;70;195
;;IO102151;ИО 102-15/1;151;300;33;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;151;300
;;IO102152;ИО 102-15/2;160;350;13;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;160;350
;;IO10220A2M;ИО 102-20 А2М ;599;1200;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;599;1200
;;IO10220A2P;ИО 102-20 А2П ;240;550;2;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;240;550
;;IO10220A3M;ИО 102-20 А3М ;799;2000;30;VAT_20;;;;;Поставки будут;;;;;;;;;;;;799;2000
Скрыт сотрудником Маркета:Товар привязан не к той карточке. Так получилось, потому что нам не хватает данных для привязки к корректной карточке. Пожалуйста, заполните поля «Название позиции. Штрихкод. Артикул.» и напишите в поддержку — мы вернём товар в продажу. При создании обращения в разделе «Поддержка» советуем выбрать тему «Каталог и создание карточек» → «Почему товары скрыты с витрины?».;;IO10220B2P;ИО 102-20 Б2П ;260;550;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;260;550
;;IO10220B2P2;ИО 102-20 Б2П (2);170;450;0;VAT_20;Да;3;;;Поставки будут;;;;;;;;;;;;170;450
;;IO10221;ИО 102-21;258;580;38;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;258;580
;;IO1022600;"ИО 102-26 исп.00 ""Аякс""";327;750;39;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;327;750
;;IO10226isp01Ayks;"ИО 102-26 исп.01 ""Аякс""";422;790;42;VAT_20;;;;;Поставки будут;;;;;;;;;;;;422;790
;;IO10240ispA2P2TERRAKTOVUIplastmasRukav;Ио 102-40 исп. А2П (2) ТЕРРАКОТОВЫЙ пластмассовый рукав;199;350;20;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;150;350
;;IO10240ispA3M3MetalRukav;ИО 102-40 исп. А3М (3) металлический рукав;881;1000;18;VAT_20;;;;;Поставки будут;;;;;;;;;;;;881;1800
;;IO10240ispB2P2BELUIplastRukav;ИО 102-40 исп. Б2П (2) БЕЛЫЙ пластмассовый рукав;184;500;0;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;184;500
;;IO10250ispB2P1BEZRUKAVA;ИО 102-50 исп. Б2П (1) без рукава;200;450;66;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;200;450
;;IO10250ispB2P2KORICHNEVUIplastmRukav;ИО 102-50 исп. Б2П (2) КОРИЧНЕВЫЙ пластмассовый рукав;210;450;9;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;210;450
;;IO10250ispB2P3MetalRukav;ИО 102-50 исп. Б2П (3) металлический рукав;269;550;8;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;269;550
;;IO10250ispB2PplastmRukav;ИО 102-50 исп. Б2П (2) пластмассовый рукав;200;450;62;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;200;450
;;IO10251P;Ио 102-51 П;299;650;4;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;299;650
;;IO10252;Ио 102-52;190;450;50;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;190;450
;;IO10254;Ио 102-54;190;450;0;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;190;450
;;IO10254Korichnev;ИО 102-54 коричневый;150;400;0;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;150;400
;;IO1025552HP;Ио 102-555 2НР;277;550;6;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;277;550
;;IO102555HP;Ио 102-555 НР;279;560;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;279;560
;;IO102555HPTSH;Ио 102-555 Нр+Тш;299;650;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;299;650
;;IO1026Korichnev;Ио 102-6 коричневый;299;650;15;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;299;650
;;IO40921Ayks;"Ио 409-21 ""Аякс""";620;1200;30;VAT_20;;;;;Поставки будут;;;;;;;;;;;;620;1200
;Изменения в карточку не приняты:Несколько ваших товаров привязаны к одной и той же карточке. Изменения в карточку мы принимаем, только если вы редактируете товар IO40921Ayks. Пожалуйста, внесите правки именно на странице этого товара.;IO40921AyksIspAlabai;"Ио 409-21 ""Аякс"" исп. ""Алабай""";699;1350;18;VAT_20;;;;;Поставки будут;;;;;;;;;;;;699;1350
;;IO40921TAyks;"Ио 409-21-Т ""Аякс""";699;1350;9;VAT_20;;;;;Поставки будут;;;;;;;;;;;;699;1350
;;IP212-141;ИП 212-141 ;472;628;315;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;472;628
;;Iahik01700400500;Ящик для песка 0,1 куб (разборный) (700*400*500) ;3400;4970;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3400;4970
;;Iashikdliainstrymentov; Ящик для инструмента systec 240х230х500 мм, пластик, черный;1316;2840;1;VAT_20;;1;;;;;;;;;;да;;;;;1316;2840
;;Ikar5ia;Икар 5ИА;3288;4790;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3288;4790
;;Ikarshrio309103;"ИКАР-ШР (ИО 30910-3) ""Стрелец""";3499;5012;13;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3499;5012
;;Io10151;"ИО 101-5/1 ""Черепаха-1М"" ";4396;5910;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;4396;5910
;;Io10226Bisp10Ayks;"ИО 102-26/В исп.10 ""Аякс""";4224;6999;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4224;6999
;;Io10226Bisp20Ayks;"ИО 102-26/В исп.20 ""Аякс""";5616;8990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5616;8990
;;Io10226isp02Ayks;"ИО 102-26 исп.02 ""Аякс""";1263;1990;124;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1263;1990
;;Io10226isp031Ayks;"ИО 102-26 исп.03/1 ""АЯКС""";349;600;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;349;600
;;Io10226isp03Ayks;"ИО 102-26 исп.03 ""Аякс""";1242;2200;80;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1242;2200
;;Io10226isp04Ayks;"ИО 102-26 исп.04 "" Аякс""";443;811;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;443;811
;;Io10226isp05Aysk;"ИО 102-26 исп.05 ""Аякс""";1306;2211;21;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1306;2211
;;Io10229Astet;"ИО 102-29 ""Эстет""";501;980;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;501;980
;;Io10229AstetSeif;"ИО 102-29 ""Эстет-сейф""";801;1550;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;801;1550
;;Io10229AstetSeifInvertor;"ИО 102-29 ""Эстет-сейф"" инвентор";1539;2200;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1539;2200
;;Io10229AstetSeifUlichnui;"ИО 102-29 ""Эстет-сейф"" уличный";1068;1999;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1068;1999
;;Io10229AstetUlichnui;"ИО 102-29 ""Эстет"" уличный";756;1350;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;756;1350
;;Io10239isp00;ИО 102-39 исп 00;782;1390;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;782;1390
;;Io10240A2P(2)Korich.KabelPlastmRukav;ИО 102-40 исп. А2П (2) КОРИЧНЕВЫЙ пластмассовый рукав;150;300;16;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;150;300
;;Io10240A2P(2)PlastmasRukav;ИО 102-40 исп. А2П (2) пластмассовый рукав;150;300;1;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;150;300
;;Io10240A2P3MetalRukav;ИО 102-40 исп. А2П (3)  металлический рукав;204;450;9;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;204;450
;;Io10240bzp2;ИО 102-40 исп. Б3П (2) пластмассовый рукав ;388;560;17;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;388;560
;;Io10240ispA2M(3)metalrukav;ИО 102-40 исп. А2М (3) металлический рукав;525;999;17;VAT_20;;;;;Поставки будут;;;;;;;;;;;;525;999
;;Io10240ispA2MK;ИО 102-40 исп. А2М К ;699;1290;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;699;1290
;;Io10240ispA3P2;ИО 102-40 исп. А3П (2) пластмассовый рукав;599;1350;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;599;1350
;;Io10240ispA3P3metalRukav;ИО 102-40 исп. А3П (3) металлический рукав;399;900;4;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;399;900
;;Io10240ispB2MA2M3metalRukav;ИО 102-40 исп. Б2М (А2М) (3) металлический рукав;400;950;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;400;950
;;Io10240ispB2P2SERUI;ИО 102-40 исп. Б2П (2) СЕРЫЙ пластмассовый рукав;300;370;52;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;184;500
;;Io10240ispB2P2TerrakotPlastmRukav;Ио 102-40 исп. Б2П (2) ТЕРРАКОТОВЫЙ пластмассовый рукав;300;650;8;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;650
;;Io10240ispb2pB;ИО 102-40 исп. Б2П (В)   ;312;360;42;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;212;360
;;Io10240ispbzm3;ИО 102-40 исп. Б3М (3) металлический рукав ;991;1200;11;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;600;
;;Io10240ispbzp3;ИО 102-40 исп. Б3П (3) металлический рукав ;396;550;13;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;499;600
;;Io10240k;Ио 102-40К;1242;2760;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1242;2760
;;Io1024340izv;Ио 102-53-40;5606;7290;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;5606;7290
;;Io10243isp00;"ИО 102-43 ""Нержавейка"" исп.00";686;840;38;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;686;840
;;Io10247;"ИО 102-47 ""Антисаботаж""";442;590;10;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;442;590
;;Io102471;Ио 102-47/1;154;317;4;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;154;317
;;Io102472;Ио 102-47/2;406;570;20;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;406;570
;;Io10248isp00;Ио 102-48 исп.00;258;550;23;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;258;550
;;Io10248isp01;Ио 102-48 исп.01;419;850;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;419;850
;;Io10248isp02;ИО 102-48 исп.02;467;980;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;467;980
;;Io1024SMK4;Ио 102-4 (СМК-4);144;289;11;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;144;289
;;Io1025;Ио 102-5;146;450;52;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;146;450
;;Io10250;ИО 102-50 исп. А3П (2) пластмассовый рукав;518;850;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;600;850
;;Io10250A2M3MetalRukav;ИО 102-50 А2М (3) металлический рукав;527;1150;6;VAT_20;;;;;Поставки будут;;;;;;;;;;;;527;1150
;;Io10250ispA2P1BezRukava;ИО 102-50 исп. А2П (1) без рукава;378;450;10;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;178;450
;;Io10250ispA2P2KorichnevuiPlastmRukav;ИО 102-50 исп. А2П (2) КОРИЧНЕВЫЙ пластмассовый рукав;388;500;10;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;388;500
;;Io10250ispA2P2PlastRukav;ИО 102-50 исп. А2П (2) пластмассовый рукав;288;500;10;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;300;500
;;Io10250ispA2P3MetalRukav;ИО 102-50 исп. А2П (3) металлический рукав;301;550;10;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;300;550
;;Io10253100;Ио 102-53-100;6455;7940;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6455;7940
;;Io10253isp40;ИО 102-53 исп.40;5606;7129;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;5606;7129
;Изменения в карточку не приняты:Несколько ваших товаров привязаны к одной и той же карточке. Изменения в карточку мы принимаем, только если вы редактируете товар IO10254Korichnev. Пожалуйста, внесите правки именно на странице этого товара.;Io10254;Ио 102-54 ;88;159;67;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;88;159
;;Io1026Pchernui;Ио 102-6П черный;921;1780;9;VAT_20;;;;;Поставки будут;;;;;;;;;;;;921;1780
;;Io1026chernui;ИО 102-6 черный;225;490;71;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;225;490
;;Io1029AstetInvertor;"ИО 102-29 ""Эстет"" инвертор";1331;2190;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1331;2190
;;Io1040ispB2M3;ИО 102-40 исп. Б2М (3) металлический рукав;500;570;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;416;859
;;Io1043isp1;"ИО 102-43 ""Нержавейка"" исп.01";1391;2970;4;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1391;2970
;;Iohx40ramstrelez;"ИО ""СТОП HX-40RAM""  ""Стрелец""";34000;41700;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;34000;41700
;;Ip21221032;"Аврора-ДСР (ИП 21210-3/2) ""Стрелец""";2450;3974;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2450;3974
;;Ip212822;Аврора-ДИ исп.2 (ИП 212-82/2);2252;3061;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2252;3061
;;Ipd31m;ИПд-3.1М ;460;610;92;VAT_20;;11;;;Поставки будут;;;;;;;;;;;;460;610
;;Ipdldi4p;ИПДл-д-I (4Р) ;12000;16400;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;12000;16400
;;Iskra12V;Искра (12В);504;890;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;504;890
;;Izolenta1510;Изолента 15мм х 10м  белая;40;134;0;VAT_20;;13;;;Поставки будут;;;;;;;;;;;;40;134
;;Izolenta1925white;Изолента 19мм х 25м  белая;68;93;5;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;68;93
;;Izolentablack1925;Изолента 19мм х 25м черная;68;87;31;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;68;87
;;J2000-A10Dvi30;Видеокамера J2000-A10Dvi30(2.8-12) ;3699;5200;13;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3699;5200
;;J2000-A13Pmi40(2.8-12);Видеокамера J2000-A13Pmi40(2.8-12)  ;6999;8470;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6999;8470
;;J2000dfcoordinatminibloksoprjeniakoordinat;J2000-DF-Coordinat мини блок сопряжения координатный    ;1260;2799;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1260;2799
;;JEKRJ458P8CCAT5e05-1021;Джек RJ-45 8P-8C CAT5e (05-1021);15;50;293;VAT_20;;34;;;Поставки будут;;;;;;;;;;;;15;50
;;JekTelefon4P4C0510013;Джек телефонный 6P4C  ;14;50;0;VAT_20;;36;;;Поставки будут;;;;;;;;;;;;14;50
;;JiletSignalDlyVoditDMreflectivematerials;Жилет сигнальный для водителя DM reflective materials																;439;770;1;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;439;770
;;JurnalEkspluataciiSistemProtivopojZashitu48str;Журнал эксплуотации систем противопожарной защиты 48 стр.;99;250;9;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;99;250
;;K04kronshtein;К.04 кронштейн ;119;390;3;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;119;390
;"Изображение не по правилам:Вы передали <a href=//avatars.mds.yandex.net/get-marketpic/5110263/pic3e67268bf5ae77c580cd11e3beb0dbcb/orig target=""_blank"">изображение</a>. Оно не подходит, потому что содержит недопустимые элементы. Мы не принимаем изображения с водяными знаками, логотипами, рекламой, посторонними надписями (например, ценой, скидкой, названием бренда или магазина), рамками, полями, тенями и отражениями от предметов. Удалите это изображение и добавьте другое, которое соответствует <a href=https://yandex.ru/support/marketplace/add-items/requirements.html#pics target=""_blank"">правилам</a>.

Изображение не по правилам:Вы передали <a href=//avatars.mds.yandex.net/get-marketpic/7672925/pic8b3a328ba6711ff522a9d749dd9ae4e2/orig target=""_blank"">изображение</a>. Оно не подходит, потому что содержит недопустимые элементы. Мы не принимаем изображения с водяными знаками, логотипами, рекламой, посторонними надписями (например, ценой, скидкой, названием бренда или магазина), рамками, полями, тенями и отражениями от предметов. Удалите это изображение и добавьте другое, которое соответствует <a href=https://yandex.ru/support/marketplace/add-items/requirements.html#pics target=""_blank"">правилам</a>.";KPSEngAFRKS1x2x075Buhta200m;КПСЭнг(А)-FRLS 1x2x0,75 (бухта 200м);510;600;;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;510;600
;;KPSEngAFRLS1x2x075Buhta200mIvanovoRaznomeri;КПСЭнг(А)-FRLS 1x2x0,75 (бухта 200м) Иваново разномеры;504;600;198;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/6566366/pic65e2adacc8b44cd86090f93c38efd732/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.

Изображение не по правилам:Вы передали <a href=//avatars.mds.yandex.net/get-marketpic/5110263/pic3e67268bf5ae77c580cd11e3beb0dbcb/orig target=""_blank"">изображение</a>. Оно не подходит, потому что содержит недопустимые элементы. Мы не принимаем изображения с водяными знаками, логотипами, рекламой, посторонними надписями (например, ценой, скидкой, названием бренда или магазина), рамками, полями, тенями и отражениями от предметов. Удалите это изображение и добавьте другое, которое соответствует <a href=https://yandex.ru/support/marketplace/add-items/requirements.html#pics target=""_blank"">правилам</a>.

Изображение не по правилам:Вы передали <a href=//avatars.mds.yandex.net/get-marketpic/7672925/pic8b3a328ba6711ff522a9d749dd9ae4e2/orig target=""_blank"">изображение</a>. Оно не подходит, потому что содержит недопустимые элементы. Мы не принимаем изображения с водяными знаками, логотипами, рекламой, посторонними надписями (например, ценой, скидкой, названием бренда или магазина), рамками, полями, тенями и отражениями от предметов. Удалите это изображение и добавьте другое, которое соответствует <a href=https://yandex.ru/support/marketplace/add-items/requirements.html#pics target=""_blank"">правилам</a>.";KPSEngAFRLS2x2x075Buhta200mPuls;КПСЭнг(А)-FRLS 2x2x0,75 (бухта 200м) Пульс;528;600;200;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;528;600
;;KPSVVngLS1x2x1;КПСВВнг-LS 1x2x1;512;600;100;VAT_20;;16;;;Поставки будут;;;;;;;да;Есть;;Есть;;512;600
;;KPSngAFRHF1x2x075Buhta200m;КПСнг(А)-FRHF 1x2x0,75 (бухта 200м) Пульс;504;600;800;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
;;KPSngAFRLS1x2x02kvmmBuhta200m;КПСнг(А)-FRLS 1x2x0,2 кв мм (бухта 200м);510;600;150;VAT_20;;15;;;Поставки будут;;;;;;;да;Есть;;Есть;;510;600
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/5753914/pic2aca752bd4423b3d15b2bd853268f534/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.

Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/8259349/pic99c38180e7f0ee873a998d0b3f788ef9/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";KPSngAFRLS1x2x075Buhta200m;КПСнг(А)-FRLS  1x2x0,75 (бухта 200м);522;600;;VAT_20;;18;;;Поставки будут;;;;;;;да;Есть;;Есть;;522;600
;;KPSngAFRLS1x2x075Buhta200mRexant;КПСнг(А)-FRLS 1x2x0,75 (бухта 200м) Rexant;504;600;200;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
;"Изображение не по правилам:Вы передали <a href=//avatars.mds.yandex.net/get-marketpic/5110263/pic3e67268bf5ae77c580cd11e3beb0dbcb/orig target=""_blank"">изображение</a>. Оно не подходит, потому что содержит недопустимые элементы. Мы не принимаем изображения с водяными знаками, логотипами, рекламой, посторонними надписями (например, ценой, скидкой, названием бренда или магазина), рамками, полями, тенями и отражениями от предметов. Удалите это изображение и добавьте другое, которое соответствует <a href=https://yandex.ru/support/marketplace/add-items/requirements.html#pics target=""_blank"">правилам</a>.

Изображение не по правилам:Вы передали <a href=//avatars.mds.yandex.net/get-marketpic/7672925/pic8b3a328ba6711ff522a9d749dd9ae4e2/orig target=""_blank"">изображение</a>. Оно не подходит, потому что содержит недопустимые элементы. Мы не принимаем изображения с водяными знаками, логотипами, рекламой, посторонними надписями (например, ценой, скидкой, названием бренда или магазина), рамками, полями, тенями и отражениями от предметов. Удалите это изображение и добавьте другое, которое соответствует <a href=https://yandex.ru/support/marketplace/add-items/requirements.html#pics target=""_blank"">правилам</a>.";KPSngAFRLS1x2x1Buhta200mRexant;КПСнг(А)-FRLS 1x2x1 (бухта 200м) Rexant;504;600;155;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/6908828/piccd20f3915e21cc94b675a32dca50088a/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.

Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/7883631/picdb1429297528937c7259bfbf172036fd/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.

Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/5984519/pic200167334627f8139bbc23150a6cd63d/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";KPSngFRLS1x2x02Buhta200m;КПСнг(А)-FRLS  1x2x0,2 (бухта 200м) Пульс;504;600;;VAT_20;;18;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
