Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;474864;RVi-1HDR1041M;10164;12600;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;486684;Z-5R без корпуса;898;1700;20;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;5034;"Сирена-Р  ""Стрелец""";7000;8500;13;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7000;8500
;;5158854;PSE-PoE.220AC/15VA;980;1600;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;5165553;Matrix-III-EH ;3820;5000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;54456;Автозарядка в прикуриватель USB (АЗУ) белая;350;500;3;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;;
;;5465846;Patrol-201PET;975;1300;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;55465;RR-1t;2099;2600;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2099;
;;555454;Patrol-501;1000;1600;19;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;555555;Журнал учета огнетушителей;;;3;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;65;97
;;5596;ИПР-3 СУМ;235;285;0;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;;
;;562189;"БИ32-И  ""Стрелец Интеграл""";6500;9000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6500;9000
Товар не получится продавать по модели DBS.:Выберите другую модель размещения. Подробности вы найдёте в Справке (https://yandex.ru/support/marketplace/assortment/restrictions/all.html).;;5638;Сирена FE-105WS;1400;1900;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1400;1900
;;564321;Газовый кран(перекрыватель) DN20A;700;953;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;800;1200
;;565468468;Orient VE041 удлинитель (переходник) ;999;1200;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;567438;ИВЭПР 12/1,5 1х7;3335;4050;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3413;4050
;;567543;Октава-12В исп.1;;;82;VAT_20;;;;;Поставки будут;;;;;;;;;;;;456;529
;;567890;Октава-12В исп.2;;;38;VAT_20;;;;;Поставки будут;;;;;;;;;;;;496;576
;;568486;MikroTik RBcAPGi-5acD2nD точка доступа;8000;10000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;5rt67hj;HiWatch DS-T220 (6.0);;;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3200;5000
;;6207;Гранит-8  ;8030;9999;4;VAT_20;Да;;;;Поставки будут;;;;;;;;;;;;8030;9999
;;620705;Гранит-9 Эк;7185;7999;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7185;7999
